delta,replicate,loss,accuracy,n_train,sigma2_delta
0.2,29,4.454033099710661e-06,1.0,1228,1.2362662415043966e-11
0.3,0,5.105547677505646e-06,1.0,1075,1.2731842398476871e-11
0.3,1,3.2646394002983087e-06,1.0,1075,1.2731842398476871e-11
0.3,2,7.717665689637556e-06,1.0,1075,1.2731842398476871e-11
0.3,3,3.652987991199081e-06,1.0,1075,1.2731842398476871e-11
0.3,4,4.398430006476871e-06,1.0,1075,1.2731842398476871e-11
0.3,5,3.6841354761397943e-06,1.0,1075,1.2731842398476871e-11
0.3,6,9.131627590936423e-06,1.0,1075,1.2731842398476871e-11
0.3,7,7.186353466893726e-06,1.0,1075,1.2731842398476871e-11
0.3,8,1.8316521574035364e-05,1.0,1075,1.2731842398476871e-11
0.3,9,9.526231217205587e-06,1.0,1075,1.2731842398476871e-11
0.3,10,6.648632624796613e-06,1.0,1075,1.2731842398476871e-11
0.3,11,6.3367171323890665e-06,1.0,1075,1.2731842398476871e-11
0.3,12,1.0250798614842536e-05,1.0,1075,1.2731842398476871e-11
0.3,13,7.371759838249317e-06,1.0,1075,1.2731842398476871e-11
0.3,14,6.4803745765061665e-06,1.0,1075,1.2731842398476871e-11
0.3,15,3.419225544895554e-06,1.0,1075,1.2731842398476871e-11
0.3,16,1.0480751877956786e-05,1.0,1075,1.2731842398476871e-11
0.3,17,4.870824349730175e-06,1.0,1075,1.2731842398476871e-11
0.3,18,7.0348412855752825e-06,1.0,1075,1.2731842398476871e-11
0.3,19,4.481453056039249e-06,1.0,1075,1.2731842398476871e-11
0.3,20,1.1016477826811244e-05,1.0,1075,1.2731842398476871e-11
0.3,21,5.691946863060625e-06,1.0,1075,1.2731842398476871e-11
0.3,22,3.4105422312015115e-06,1.0,1075,1.2731842398476871e-11
0.3,23,8.669223655383352e-06,1.0,1075,1.2731842398476871e-11
0.3,24,1.5982603410432078e-05,1.0,1075,1.2731842398476871e-11
0.3,25,7.1852800680412104e-06,1.0,1075,1.2731842398476871e-11
0.3,26,8.234248587108385e-06,1.0,1075,1.2731842398476871e-11
0.3,27,4.611118539807428e-06,1.0,1075,1.2731842398476871e-11
0.3,28,5.138689291178704e-06,1.0,1075,1.2731842398476871e-11
0.3,29,3.655794243166635e-06,1.0,1075,1.2731842398476871e-11
0.4,0,4.306608409670207e-06,1.0,921,1.5362993720595103e-11
0.4,1,4.600565159861889e-06,1.0,921,1.5362993720595103e-11
0.4,2,2.6215481790772144e-06,1.0,921,1.5362993720595103e-11
0.4,3,1.535828120386279e-05,1.0,921,1.5362993720595103e-11
0.4,4,4.740717581945402e-06,1.0,921,1.5362993720595103e-11
0.4,5,1.8968882470737596e-05,1.0,921,1.5362993720595103e-11
0.4,6,1.0587045032740592e-05,1.0,921,1.5362993720595103e-11
0.4,7,3.6821157482532165e-06,1.0,921,1.5362993720595103e-11
0.4,8,2.7531659105590917e-06,1.0,921,1.5362993720595103e-11
0.4,9,6.824543949355447e-06,1.0,921,1.5362993720595103e-11
0.4,10,5.089286312634399e-06,1.0,921,1.5362993720595103e-11
0.4,11,4.568896977703228e-06,1.0,921,1.5362993720595103e-11
0.4,12,7.612693064432083e-06,1.0,921,1.5362993720595103e-11
0.4,13,6.062312823266561e-06,1.0,921,1.5362993720595103e-11
0.4,14,5.540942345072878e-06,1.0,921,1.5362993720595103e-11
0.4,15,1.4062485005419082e-05,1.0,921,1.5362993720595103e-11
0.4,16,4.1291860402019745e-06,1.0,921,1.5362993720595103e-11
0.4,17,6.091869285029744e-06,1.0,921,1.5362993720595103e-11
0.4,18,3.835819022791498e-06,1.0,921,1.5362993720595103e-11
0.4,19,1.0626375820490623e-05,1.0,921,1.5362993720595103e-11
0.4,20,4.184316608817455e-06,1.0,921,1.5362993720595103e-11
0.4,21,7.497793982874378e-06,1.0,921,1.5362993720595103e-11
0.4,22,2.6629377242713555e-06,1.0,921,1.5362993720595103e-11
0.4,23,3.669175635835467e-06,1.0,921,1.5362993720595103e-11
0.4,24,3.495465581487311e-06,1.0,921,1.5362993720595103e-11
0.4,25,4.4019192141481865e-06,1.0,921,1.5362993720595103e-11
0.4,26,3.982097653919837e-06,1.0,921,1.5362993720595103e-11
0.4,27,5.4758238881232894e-06,1.0,921,1.5362993720595103e-11
0.4,28,7.738461762139044e-06,1.0,921,1.5362993720595103e-11
0.4,29,6.445712389607933e-06,1.0,921,1.5362993720595103e-11
0.5,0,3.4282287683970194e-06,1.0,768,2.2883770327255528e-11
0.5,1,1.945730543519567e-05,1.0,768,2.2883770327255528e-11
0.5,2,4.986265050597531e-06,1.0,768,2.2883770327255528e-11
0.5,3,2.2818820604641197e-06,1.0,768,2.2883770327255528e-11
0.5,4,5.125060691598558e-06,1.0,768,2.2883770327255528e-11
0.5,5,3.3862187043726813e-06,1.0,768,2.2883770327255528e-11
0.5,6,5.402107985914318e-06,1.0,768,2.2883770327255528e-11
0.5,7,4.358704664200912e-06,1.0,768,2.2883770327255528e-11
0.5,8,9.572008721692304e-06,1.0,768,2.2883770327255528e-11
0.5,9,1.2331707370199687e-05,1.0,768,2.2883770327255528e-11
0.5,10,1.3252173766321491e-05,1.0,768,2.2883770327255528e-11
0.5,11,3.555049620679632e-06,1.0,768,2.2883770327255528e-11
0.5,12,7.6088261669129085e-06,1.0,768,2.2883770327255528e-11
0.5,13,6.615921448998609e-06,1.0,768,2.2883770327255528e-11
0.5,14,5.248735575413686e-06,1.0,768,2.2883770327255528e-11
0.5,15,4.286825453872801e-06,1.0,768,2.2883770327255528e-11
0.5,16,7.686656005614282e-06,1.0,768,2.2883770327255528e-11
0.5,17,2.7334769937970746e-06,1.0,768,2.2883770327255528e-11
0.5,18,8.58178709320052e-06,1.0,768,2.2883770327255528e-11
0.5,19,1.9911461233852e-05,1.0,768,2.2883770327255528e-11
0.5,20,5.343265099390899e-06,1.0,768,2.2883770327255528e-11
0.5,21,5.7387648952607585e-06,1.0,768,2.2883770327255528e-11
0.5,22,5.1006775113498004e-06,1.0,768,2.2883770327255528e-11
0.5,23,1.143515210507734e-05,1.0,768,2.2883770327255528e-11
0.5,24,1.487280415274775e-05,1.0,768,2.2883770327255528e-11
0.5,25,1.5312390935295507e-05,1.0,768,2.2883770327255528e-11
0.5,26,8.056807949505505e-06,1.0,768,2.2883770327255528e-11
0.5,27,1.1205747991498472e-05,1.0,768,2.2883770327255528e-11
0.5,28,8.087972552386041e-06,1.0,768,2.2883770327255528e-11
0.5,29,4.164322855073377e-06,1.0,768,2.2883770327255528e-11
