delta,replicate,loss,accuracy,n_train,sigma2_delta
0.4,16,0.09524276665195383,0.9689119170984456,921,0.0006575899667571439
0.4,17,0.13997471725935606,0.9792746113989638,921,0.0006575899667571439
0.4,18,0.11247393410898301,0.9689119170984456,921,0.0006575899667571439
0.4,19,0.09383713890892142,0.9792746113989638,921,0.0006575899667571439
0.4,20,0.13170794204942363,0.9792746113989638,921,0.0006575899667571439
0.4,21,0.12324260176840234,0.9689119170984456,921,0.0006575899667571439
0.4,22,0.1341760184382319,0.9637305699481865,921,0.0006575899667571439
0.4,23,0.09899002252555346,0.9792746113989638,921,0.0006575899667571439
0.4,24,0.10397957334406434,0.9689119170984456,921,0.0006575899667571439
0.4,25,0.06809515142745245,0.9792746113989638,921,0.0006575899667571439
0.4,26,0.12431439013425374,0.9689119170984456,921,0.0006575899667571439
0.4,27,0.14373308811167293,0.9585492227979274,921,0.0006575899667571439
0.4,28,0.11128898555279067,0.9792746113989638,921,0.0006575899667571439
0.4,29,0.11504288498452254,0.9792746113989638,921,0.0006575899667571439
0.5,0,0.12283258245994741,0.9689119170984456,768,0.0010590079432609989
0.5,1,0.1292612605041767,0.9740932642487047,768,0.0010590079432609989
0.5,2,0.1494985481112033,0.9740932642487047,768,0.0010590079432609989
0.5,3,0.13302971045118345,0.9689119170984456,768,0.0010590079432609989
0.5,4,0.16217894157697016,0.9689119170984456,768,0.0010590079432609989
0.5,5,0.1175123740261331,0.9689119170984456,768,0.0010590079432609989
0.5,6,0.16450579911948895,0.9585492227979274,768,0.0010590079432609989
0.5,7,0.1733364030970788,0.9740932642487047,768,0.0010590079432609989
0.5,8,0.11929716992132072,0.9740932642487047,768,0.0010590079432609989
0.5,9,0.07956413440235198,0.9792746113989638,768,0.0010590079432609989
0.5,10,0.11575028229677603,0.9740932642487047,768,0.0010590079432609989
0.5,11,0.0979366447506236,0.9740932642487047,768,0.0010590079432609989
0.5,12,0.1886171199255252,0.9740932642487047,768,0.0010590079432609989
0.5,13,0.10707897039929266,0.9740932642487047,768,0.0010590079432609989
0.5,14,0.06749317637809898,0.9844559585492227,768,0.0010590079432609989
0.5,15,0.07764659235841663,0.9792746113989638,768,0.0010590079432609989
0.5,16,0.11597086901681179,0.9689119170984456,768,0.0010590079432609989
0.5,17,0.06187678236483808,0.9844559585492227,768,0.0010590079432609989
0.5,18,0.12406967659026658,0.9740932642487047,768,0.0010590079432609989
0.5,19,0.1704051579011036,0.9637305699481865,768,0.0010590079432609989
0.5,20,0.07695812311471274,0.9844559585492227,768,0.0010590079432609989
0.5,21,0.09448281886245316,0.9844559585492227,768,0.0010590079432609989
0.5,22,0.10601643123686734,0.9740932642487047,768,0.0010590079432609989
0.5,23,0.1281732494903739,0.9740932642487047,768,0.0010590079432609989
0.5,24,0.1154968349821797,0.9689119170984456,768,0.0010590079432609989
0.5,25,0.08464548473454837,0.9740932642487047,768,0.0010590079432609989
0.5,26,0.129881284267828,0.9689119170984456,768,0.0010590079432609989
0.5,27,0.12125418340631768,0.9740932642487047,768,0.0010590079432609989
0.5,28,0.09779277658893186,0.9740932642487047,768,0.0010590079432609989
0.5,29,0.08789536699847543,0.9844559585492227,768,0.0010590079432609989
